mouse2;mouse;applicaiton;day;group;kb1;yl2;kb18;yl27;yl31;yl32;yl44;yl45;i46;i48;i49;yl58;universal
A;1681;TRUE;0;water;25145275.44;115496.67;8249.76;30119882092;21284386688;16276780983;2.47245E+11;10988683360;5917554485;4.5019E+11;7185542948;18702211094;1.50806E+14
B;1682;TRUE;0;water;40467836.5;265611.68;18972.26;36521605839;33713710949;32784070073;2.6656E+11;14041371679;9209136350;6.0844E+11;20167515328;29843369343;1.21385E+14
C;1683;TRUE;0;water;93063434.54;201342.62;14381.62;44539863510;31912805014;11736836490;3.58821E+11;16495713092;15920448468;7.26128E+11;6.60404E+11;55915721448;1.69415E+14
D;1684;TRUE;0;water;22423762.67;119275.33;8519.67;14798661000;10632544000;5045346600;1.34355E+11;6491134033;6088153800;2.58572E+11;10649583333;18538794667;5.89305E+13
E;1685;TRUE;0;water;105916163.5;204923.48;14637.39;58813038261;22204922609;20960744348;1.64817E+11;14224616870;7252827391;5.47438E+11;18047903478;40940783478;1.03955E+14
A;1686;TRUE;0;Ciprofloxacin;58520384.27;149150.81;10653.63;21456408871;13956254032;3523155121;2.2916E+11;7647174919;12592589516;3.00326E+11;33292590726;35508545565;5.79451E+13
B;1687;TRUE;0;Ciprofloxacin;36561379.06;155864.59;11133.18;19883868151;14462007127;4319675724;1.84811E+11;7434740846;12157437862;3.16405E+11;15040932739;28823815590;6.47395E+13
C;1688;TRUE;0;Ciprofloxacin;75281827.34;264146.76;18867.63;48376592806;19641198561;18599705612;2.24147E+11;12113015827;17503496547;5.25086E+11;25169412950;40263513669;1.1313E+14
D;1689;TRUE;0;Ciprofloxacin;48226128.31;216468.67;15462.05;47483950000;17920513855;16003219880;2.25127E+11;8573705723;12069674819;4.31546E+11;5407078253;24182643373;8.33095E+13
E;1690;TRUE;0;Ciprofloxacin;32238305.88;185582.35;13255.88;28659217647;10000237647;6783035000;1.05185E+11;7111780882;5286445882;2.33304E+11;7082617941;13308905882;3.94097E+13
